Original_Name,Scientific_Name,Common_Name
Aeschynomene americana,Aeschynomene americana,American jointvetch
Aeschynomene villosa,Aeschynomene villosa,Hairy jointvetch
Alysicarpus rugosus,Alysicarpus rugosus,Red moneywort
Alysicarpus vaginalis,Alysicarpus vaginalis,Alyce clover
Arachis pintoi,Arachis pintoi,Pinto peanut
Avena sativa 6710,Avena sativa,Oats
B.decumbens Cv basilisk,Brachiaria decumbens,Signal grass
Balanites rotundifolia,Balanites rotundifolia,Round-leaved balanites
Bouffordia dichotoma,Bouffordia dichotoma,Desmodium dichotomum
C.cilliaris,Cenchrus ciliaris,Buffel grass
Calliandra calothyrsus†††,Calliandra calothyrsus,Red Calliandra
Calopogonium caeruleum†††,Calopogonium caeruleum,Wild jicama
Centrosema macrocarpum†††,Centrosema macrocarpum,Butterfly pea
Centrosema molle,Centrosema molle,Butterfly pea
Centrosema pascuorum,Centrosema pascuorum,Centro
Centrosema pascuorum†,Centrosema pascuorum,Centro
Centrosema schottii,Centrosema schottii,Schott's butterfly pea
Centrosema virginianum,Centrosema virginianum,Spurred butterfly pea
Chamaecrista nictitans,Chamaecrista nictitans,Sensitive partridge pea
Chamaecrista pilosa,Chamaecrista pilosa,Hairy sensitive pea
Chloris gayana†††,Chloris gayana,Rhodes grass
Clitoria ternatea,Clitoria ternatea,Butterfly pea
Codariocalyx gyroides,Codariocalyx gyroides,Telegraph plant
Codariocalyx gyroides†††,Codariocalyx gyroides,Telegraph plant
Crotalaria distantiflora,Crotalaria distantiflora,Rattlepods
Crotalaria incana,Crotalaria incana,Woolly rattlepod
Crotalaria sp.,Crotalaria spp.,Rattlepods
Desmodium sandwicense,Desmodium sandwicense,Chili clover
Desmodium tortuosum,Desmodium tortuosum,Florida beggarweed
Desmodium unicinatum 6765,Desmodium unicinatum,Silverleaf desmodium
Dolichos sp.,Dolichos sp,Lablab
Elephant grass,Elephant grass,Napier grass
Erythrina abyssinica†,Erythrina abyssinica,Red-hot-poker tree
Ficus glumosa,Ficus glumosa,Hairy rock fig
Flemingia macrophylla,Flemingia macrophylla,Large-leaf flemingia
Gliricidia sepium,Gliricidia sepium,Mexican lilac
Gliricidia sepium†,Gliricidia sepium,Mexican lilac
Glycine max,Glycine max,Soybean
Grona heterocarpa,Grona heterocarpa,Asian tick trefoil
