Standard_Name,Scientific_Name
African stylo,Stylosanthes fruticosa
Alfalfa,Medicago sativa
Alyce clover,Alysicarpus vaginalis
American jointvetch,Aeschynomene americana
Asian tick trefoil,Grona heterocarpa
Barley,Hordeum vulgare
Barrel medic,Medicago truncatula
Bean,Phaseolus vulgaris
Bean hull,Phaseolus vulgaris
Bejuco engordador,Teramnus uncinatus
Blackthorn,Vachellia melliphera
Blue wiss,Teramnus labialis
Brachiaria decumbens,Brachiaria decumbens
Brachiaria mutica,Urochloa mutica
Brachiaria sp.,Brachiaria spp.
Brachiaria spp,Brachiaria spp.
Buffel grass,Cenchrus ciliaris
Burchell clover,Trifolium burchellianum
Butterfly pea,Clitoria ternatea
Cabbage,Brassica oleracea
Cabbage leaf,Brassica oleracea
Centro,Centrosema pascuorum
Chili clover,Desmodium sandwicense
Clover,Trifolium spp.
Coba leaf,Coba spp.
Common thatching grass,Hyparrhenia hirta
Cowpea,Vigna unguiculata
Cyperus,Cyperus spp.
Desho grass,Pennisetum pedicellatum
Desmodium,Desmodium spp.
Desmodium dichotomum,Bouffordia dichotoma
Desmodium uncinatum,Desmodium uncinatum
Durum wheat straw,Triticum durum
Egyptian riverhemp,Sesbania sesban var. bicolo
Enset,Ensete ventricosum
Enset leaf,Ensete ventricosum
Enset leaf and stem,Ensete ventricosum
Enset roots,Ensete ventricosum
Enset stem,Ensete ventricosum
Florida Keys Indian mallow,Abutilon permolle
Florida beggarweed,Desmodium tortuosum
Forage oats,Avena sativa
Forbs,Mixed
Grass pea,Lathyrus sativus
Greenleaf desmodium,Desmodium intortum
Gregg lead tree,Leucaena greggii
Ground nut cake,Arachis hypogaea
Groundnut cake,Arachis hypogaea
Guatemala grass,Tripsacum laxum
Hairy cowpea,Vigna luteola
Hairy jointvetch,Aeschynomene villosa
Hairy sensitive pea,Chamaecrista pilosa
Hairy vetch,Vicia villosa
Harding grass,Phalaris aquatica
Harding grass silage,Phalaris aquatica
Hyparrhenia rufa,Hyparrhenia rufa
Kenya white clover,Trifolium semipilosum
Klein grass,Panicum coloratum
